Store_ID,Store_Name,City,Region,Store_Type,Opening_Year,Surface_m2,Employees,Is_Active
141,Novexa Store 141,Dijon,North,Retail,2023,3018,57,True
142,Novexa Store 142,Paris,South,Retail,2012,913,46,True
143,Novexa Store 143,Strasbourg,North,Retail,2011,2147,36,True
144,Novexa Store 144,Bordeaux,North,Retail,2019,1459,60,True
145,Novexa Store 145,Strasbourg,East,Flagship,2020,1470,27,True
146,Novexa Store 146,Montpellier,South,Outlet,2019,1627,11,True
147,Novexa Store 147,Strasbourg,South,Flagship,2023,2776,39,True
148,Novexa Store 148,Toulouse,West,Flagship,2020,3352,34,True
149,Novexa Store 149,Lille,West,Retail,2025,1487,22,True
150,Novexa Store 150,Dijon,South,Outlet,2011,2803,34,True
151,Novexa Store 151,Rennes,South,Outlet,2017,1544,21,True
152,Novexa Store 152,Lyon,West,Outlet,2012,2693,54,True
153,Novexa Store 153,Paris,East,Outlet,2011,4078,12,True
154,Novexa Store 154,Strasbourg,South,Outlet,2016,4061,29,True
155,Novexa Store 155,Paris,South,Retail,2013,3559,56,True
156,Novexa Store 156,Bordeaux,South,Outlet,2017,2761,28,True
157,Novexa Store 157,Nantes,West,Flagship,2021,1763,24,True
158,Novexa Store 158,Nice,West,Retail,2025,3619,28,True
159,Novexa Store 159,Toulouse,East,Outlet,2011,2804,22,True
160,Novexa Store 160,Paris,East,Flagship,2023,1709,17,True
161,Novexa Store 161,Bordeaux,West,Flagship,2017,2545,43,True
162,Novexa Store 162,Montpellier,East,Outlet,2025,4458,54,True
163,Novexa Store 163,Nice,West,Retail,2021,1193,16,True
164,Novexa Store 164,Nice,South,Flagship,2011,2646,10,True
165,Novexa Store 165,Lyon,North,Retail,2023,1063,48,True
166,Novexa Store 166,Dijon,South,Retail,2016,2571,37,True
167,Novexa Store 167,Strasbourg,West,Flagship,2025,564,8,True
168,Novexa Store 168,Nantes,North,Retail,2018,2694,26,False
169,Novexa Store 169,Dijon,West,Retail,2013,4260,14,True
170,Novexa Store 170,Bordeaux,South,Flagship,2018,3839,30,True
171,Novexa Store 171,Nantes,North,Outlet,2022,2380,44,True
172,Novexa Store 172,Dijon,South,Outlet,2012,3177,49,True
173,Novexa Store 173,Lyon,West,Outlet,2022,2763,38,True
174,Novexa Store 174,Paris,South,Retail,2025,3962,35,True
175,Novexa Store 175,Toulouse,North,Flagship,2011,1441,21,True
176,Novexa Store 176,Dijon,West,Outlet,2011,4285,12,True
177,Novexa Store 177,Lille,North,Retail,2020,564,21,True
178,Novexa Store 178,Dijon,West,Retail,2019,1165,44,True
179,Novexa Store 179,Nantes,East,Outlet,2014,3737,52,True
180,Novexa Store 180,Rennes,East,Retail,2013,2290,22,True
181,Novexa Store 181,Toulouse,West,Outlet,2010,3097,25,True
182,Novexa Store 182,Nice,West,Retail,2021,2765,32,True
183,Novexa Store 183,Montpellier,West,Retail,2019,3768,23,True
184,Novexa Store 184,Lyon,East,Retail,2022,3415,58,True
185,Novexa Store 185,Dijon,West,Outlet,2021,936,13,False
186,Novexa Store 186,Lille,West,Outlet,2018,918,16,True
187,Novexa Store 187,Nantes,West,Flagship,2023,923,9,True
188,Novexa Store 188,Rennes,North,Flagship,2020,4037,32,False
189,Novexa Store 189,Nantes,West,Retail,2017,2842,41,True
190,Novexa Store 190,Nantes,South,Retail,2018,1733,25,True
191,Novexa Store 191,Lyon,South,Outlet,2018,2224,27,True
192,Novexa Store 192,Lyon,East,Outlet,2017,3452,48,True
193,Novexa Store 193,Strasbourg,South,Outlet,2013,1054,27,False
194,Novexa Store 194,Nantes,East,Flagship,2022,3793,29,True
195,Novexa Store 195,Nantes,South,Outlet,2020,2970,52,True
196,Novexa Store 196,Toulouse,South,Outlet,2020,1693,55,True
197,Novexa Store 197,Nice,South,Outlet,2022,1648,60,True
198,Novexa Store 198,Toulouse,North,Flagship,2016,2925,42,True
199,Novexa Store 199,Rennes,North,Flagship,2024,4362,53,True
200,Novexa Store 200,Lille,North,Outlet,2025,1070,48,True
201,Novexa Store 201,Lille,South,Flagship,2023,3732,32,True
202,Novexa Store 202,Strasbourg,West,Flagship,2022,2688,40,True
203,Novexa Store 203,Dijon,West,Flagship,2011,3738,31,True
204,Novexa Store 204,Rennes,North,Retail,2017,3193,50,True
205,Novexa Store 205,Montpellier,North,Flagship,2022,4460,56,True
206,Novexa Store 206,Nantes,North,Retail,2013,1559,22,True
207,Novexa Store 207,Rennes,South,Outlet,2021,2102,37,True
208,Novexa Store 208,Strasbourg,South,Outlet,2010,2477,14,True
209,Novexa Store 209,Lyon,North,Flagship,2014,1926,27,True
210,Novexa Store 210,Bordeaux,West,Outlet,2025,899,36,True
211,Novexa Store 211,Nice,East,Retail,2019,683,59,True
212,Novexa Store 212,Paris,East,Flagship,2013,3273,59,True
213,Novexa Store 213,Dijon,South,Flagship,2015,2760,18,True
214,Novexa Store 214,Nantes,West,Retail,2022,3079,19,True
215,Novexa Store 215,Montpellier,West,Outlet,2010,3520,47,True
216,Novexa Store 216,Nice,West,Outlet,2010,3386,21,True
217,Novexa Store 217,Dijon,North,Flagship,2013,3774,42,True
218,Novexa Store 218,Toulouse,South,Outlet,2013,1574,50,True
219,Novexa Store 219,Rennes,East,Flagship,2022,3003,33,True
220,Novexa Store 220,Toulouse,East,Outlet,2015,3833,51,True
221,Novexa Store 221,Lille,North,Flagship,2014,1782,15,True
222,Novexa Store 222,Lyon,South,Outlet,2014,2592,32,True
223,Novexa Store 223,Marseille,West,Outlet,2015,2493,48,True
224,Novexa Store 224,Montpellier,South,Flagship,2015,2505,26,True
225,Novexa Store 225,Toulouse,West,Flagship,2011,4045,30,True
226,Novexa Store 226,Nice,South,Retail,2022,4447,43,True
