Supplier_ID,Supplier_Name,Country,Supplier_Type,Rating,Lead_Time_Days,Is_Active
2323,Supplier 2323,Poland,Manufacturer,4,17,True
2324,Supplier 2324,France,Manufacturer,4,31,True
2325,Supplier 2325,Portugal,Wholesaler,5,3,True
2326,Supplier 2326,Spain,Wholesaler,3,20,True
2327,Supplier 2327,Netherlands,Manufacturer,5,28,True
2328,Supplier 2328,Germany,Wholesaler,4,6,True
2329,Supplier 2329,France,Distributor,4,4,True
2330,Supplier 2330,Netherlands,Distributor,5,3,True
2331,Supplier 2331,Germany,Distributor,3,8,True
2332,Supplier 2332,Netherlands,Manufacturer,3,24,True
2333,Supplier 2333,Italy,Wholesaler,4,32,True
2334,Supplier 2334,Italy,Manufacturer,5,31,False
2335,Supplier 2335,Spain,Manufacturer,3,4,True
2336,Supplier 2336,Belgium,Wholesaler,4,32,True
2337,Supplier 2337,Spain,Distributor,4,5,True
2338,Supplier 2338,Netherlands,Distributor,3,25,True
2339,Supplier 2339,Poland,Wholesaler,4,26,True
2340,Supplier 2340,Italy,Distributor,5,33,True
2341,Supplier 2341,Belgium,Manufacturer,5,29,True
2342,Supplier 2342,Italy,Wholesaler,4,22,True
2343,Supplier 2343,Netherlands,Wholesaler,4,21,True
2344,Supplier 2344,Poland,Manufacturer,5,30,True
2345,Supplier 2345,France,Wholesaler,4,29,True
2346,Supplier 2346,France,Manufacturer,5,27,True
2347,Supplier 2347,Italy,Manufacturer,3,30,False
2348,Supplier 2348,Germany,Manufacturer,5,25,True
2349,Supplier 2349,France,Wholesaler,3,30,True
2350,Supplier 2350,Netherlands,Distributor,3,10,True
2351,Supplier 2351,Poland,Distributor,5,19,True
2352,Supplier 2352,Germany,Manufacturer,5,13,True
2353,Supplier 2353,Poland,Wholesaler,3,18,True
2354,Supplier 2354,Portugal,Manufacturer,5,20,True
2355,Supplier 2355,Portugal,Manufacturer,3,10,True
2356,Supplier 2356,Portugal,Manufacturer,5,30,True
2357,Supplier 2357,Netherlands,Wholesaler,4,6,True
2358,Supplier 2358,Belgium,Distributor,3,13,True
2359,Supplier 2359,Spain,Manufacturer,3,10,True
2360,Supplier 2360,Portugal,Manufacturer,4,25,True
2361,Supplier 2361,Italy,Wholesaler,3,6,True
2362,Supplier 2362,Portugal,Wholesaler,4,28,True
2363,Supplier 2363,Germany,Manufacturer,4,6,True
2364,Supplier 2364,Netherlands,Manufacturer,5,13,True
2365,Supplier 2365,Italy,Distributor,5,5,True
2366,Supplier 2366,Italy,Distributor,3,12,True
2367,Supplier 2367,Spain,Distributor,5,20,True
2368,Supplier 2368,Belgium,Manufacturer,5,19,True
2369,Supplier 2369,Belgium,Wholesaler,5,7,True
2370,Supplier 2370,Italy,Wholesaler,5,11,True
2371,Supplier 2371,Netherlands,Wholesaler,3,3,True
2372,Supplier 2372,Belgium,Wholesaler,3,28,True
2373,Supplier 2373,France,Distributor,5,20,True
2374,Supplier 2374,Belgium,Distributor,3,27,True
2375,Supplier 2375,Germany,Wholesaler,3,12,True
2376,Supplier 2376,Portugal,Distributor,3,23,True
2377,Supplier 2377,Netherlands,Wholesaler,4,24,True
2378,Supplier 2378,Italy,Distributor,5,8,True
2379,Supplier 2379,Portugal,Manufacturer,4,30,True
2380,Supplier 2380,Germany,Manufacturer,4,26,True
2381,Supplier 2381,Poland,Manufacturer,3,22,True
2382,Supplier 2382,Netherlands,Manufacturer,3,33,True
2383,Supplier 2383,Portugal,Distributor,4,33,False
2384,Supplier 2384,Poland,Wholesaler,4,17,True
2385,Supplier 2385,Netherlands,Manufacturer,3,20,True
2386,Supplier 2386,Portugal,Distributor,5,2,True
2387,Supplier 2387,Poland,Manufacturer,4,25,True
2388,Supplier 2388,Netherlands,Manufacturer,4,5,True
2389,Supplier 2389,Spain,Distributor,5,20,True
2390,Supplier 2390,Portugal,Wholesaler,4,9,True
2391,Supplier 2391,Germany,Distributor,4,23,True
2392,Supplier 2392,Netherlands,Manufacturer,3,34,True
2393,Supplier 2393,France,Manufacturer,3,10,True
2394,Supplier 2394,Portugal,Wholesaler,4,11,True
2395,Supplier 2395,Italy,Distributor,5,22,True
2396,Supplier 2396,Belgium,Wholesaler,4,34,True
2397,Supplier 2397,Portugal,Wholesaler,5,21,True
2398,Supplier 2398,France,Distributor,4,9,True
2399,Supplier 2399,Belgium,Wholesaler,5,3,True
2400,Supplier 2400,Belgium,Wholesaler,5,16,True
